[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,3.0
allRedTime,1.5
Walk,7.0
DontWalk,11.0
HV,0.02
PHF,0.92
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,3.5
LostTimeAdjust,0.0
ScenarioDate,01/19/2021
ScenarioTime,6:17 pm

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,726,-3221,0,,,,,,
2,1,4045,-3213,0,,,,,,
3,0,933,-3222,0,,,,,,
4,1,934,-3043,0,,,,,,
5,1,932,-3413,0,,,,,,
6,0,1263,-3223,0,,,,,,
7,1,1268,-2958,0,,,,,,
8,1,1257,-3510,0,,,,,,
9,0,1588,-3231,0,,,,,,
10,1,1590,-2952,0,,,,,,
11,1,1579,-3506,0,,,,,,
12,0,1910,-3225,0,,,,,,
13,1,1906,-2892,0,,,,,,
14,1,1913,-3515,0,,,,,,
15,1,2154,-2703,0,,,,,,
16,0,2150,-3220,0,,,,,,
17,0,2817,-3236,0,,,,,,
Speed,12,25,25,25,25,,
Time,12,7.9,9.1,8.8,6.5,,
Grade,12,0,0,0,0,,
Median,12,12,12,0,0,,
Offset,12,0,0,0,0,,
TWLTL,12,0,0,0,0,,
Crosswalk Width,12,16,16,16,16,,
Mandatory Distance,12,250,250,250,250,,
Mandatory Distance2,12,1101,1101,1101,1101,,
Positioning Distance,12,734,734,734,734,,
Positioning Distance2,12,1468,1468,1468,1468,,
Curve Pt X,12,,,,,,
Curve Pt Y,12,,,,,,
Curve Pt Z,12,,,,,,
Link Is Hidden,12,false,false,false,false,,
Street Name Is Hidden,12,false,false,false,false,,
Up ID,13,12,,,,,
Lanes,13,0,,,,,
Name,13,8th Ave S,,,,,
Distance,13,333,,,,,
Speed,13,25,,,,,
Time,13,9.1,,,,,
Grade,13,0,,,,,
Median,13,0,,,,,
Offset,13,0,,,,,
TWLTL,13,0,,,,,
Crosswalk Width,13,16,,,,,
Mandatory Distance,13,200,,,,,
Mandatory Distance2,13,1101,,,,,
Positioning Distance,13,734,,,,,
Positioning Distance2,13,1468,,,,,
Curve Pt X,13,,,,,,
Curve Pt Y,13,,,,,,
Curve Pt Z,13,,,,,,
Link Is Hidden,13,false,,,,,
Street Name Is Hidden,13,false,,,,,
Up ID,14,,12,,,,
Lanes,14,,1,,,,
Name,14,,8th Ave S,,,,
Distance,14,,290,,,,
Speed,14,,25,,,,
Time,14,,7.9,,,,
Grade,14,,0,,,,
Median,14,,0,,,,
Offset,14,,0,,,,
TWLTL,14,,0,,,,
Crosswalk Width,14,,16,,,,
Mandatory Distance,14,,200,,,,
Mandatory Distance2,14,,1101,,,,
Positioning Distance,14,,734,,,,
Positioning Distance2,14,,1468,,,,
Curve Pt X,14,,,,,,
Curve Pt Y,14,,,,,,
Curve Pt Z,14,,,,,,
Link Is Hidden,14,,false,,,,
Street Name Is Hidden,14,,false,,,,
Up ID,15,16,,,,,
Lanes,15,0,,,,,
Name,15,I5 SB Off,,,,,
Distance,15,517,,,,,
Speed,15,25,,,,,
Time,15,14.1,,,,,
Grade,15,0,,,,,
Median,15,0,,,,,
Offset,15,0,,,,,
TWLTL,15,0,,,,,
Crosswalk Width,15,16,,,,,
Mandatory Distance,15,200,,,,,
Mandatory Distance2,15,1101,,,,,
Positioning Distance,15,734,,,,,
Positioning Distance2,15,1468,,,,,
Curve Pt X,15,,,,,,
Curve Pt Y,15,,,,,,
Curve Pt Z,15,,,,,,
Link Is Hidden,15,false,,,,,
Street Name Is Hidden,15,false,,,,,
Up ID,16,,15,12,24,,
Lanes,16,,2,2,2,,
Name,16,,I5 SB Off,,,,
Distance,16,,517,240,542,,
Speed,16,,35,25,25,,
Time,16,,10.1,6.5,14.8,,
Grade,16,,0,0,0,,
Median,16,,12,0,0,,
Offset,16,,0,0,0,,
TWLTL,16,,0,0,0,,
Crosswalk Width,16,,16,16,16,,
Mandatory Distance,16,,333,333,333,,
Mandatory Distance2,16,,1539,1101,1101,,
Positioning Distance,16,,1026,734,734,,
Positioning Distance2,16,,2052,1468,1468,,
Curve Pt X,16,,,,,,
Curve Pt Y,16,,,,,,
Curve Pt Z,16,,,,,,
Link Is Hidden,16,,false,false,false,,
Street Name Is Hidden,16,,false,false,false,,
Up ID,17,25,,24,2,,
Lanes,17,0,,2,2,,
Name,17,,,,,,
Distance,17,83,,125,1228,,
Speed,17,25,,25,25,,
Time,17,2.3,,3.4,33.5,,
Grade,17,0,,0,0,,
Median,17,0,,12,12,,
Offset,17,0,,0,0,,
TWLTL,17,0,,0,0,,
Crosswalk Width,17,16,,16,16,,
Mandatory Distance,17,479,,479,479,,
Mandatory Distance2,17,1101,,1101,1101,,
Positioning Distance,17,734,,734,734,,
Positioning Distance2,17,1468,,1468,1468,,
Curve Pt X,17,,,,,,
Curve Pt Y,17,,,,,,
Curve Pt Z,17,,,,,,
Link Is Hidden,17,false,,false,false,,
Street Name Is Hidden,17,false,,false,false,,
Up ID,18,,,,,,25
Lanes,18,,,,,,*1
Name,18,,,,,,
Distance,18,,,,,,183
Speed,18,,,,,,25
Time,18,,,,,,5.0
Grade,18,,,,,,0
Median,18,,,,,,0
Offset,18,,,,,,0
TWLTL,18,,,,,,0
Crosswalk Width,18,,,,,,16
Mandatory Distance,18,,,,,,200
Mandatory Distance2,18,,,,,,1101
Positioning Distance,18,,,,,,734
Positioning Distance2,18,,,,,,1468
